Question;A;B;C;D;E;Answer;Level
Renata ma 20 kart z liczbą 22 na każdej z nich i 22 karty z liczbą 20. Ile wynosi suma wszystkich cyfr zapisanych na tych kartach?;A) 120;B) 124;C) 128;D) 132;E) 144;B;1
Ile punktów na okręgu o środku w punkcie (0,0) i promieniu 5 ma obie współrzędne całkowite?;A) 5;B) 8;C) 12;D) 16;E) 20;C;2
Widownia boiska jest prostokątem utworzonym z siedzeń ustawionych w regularne rzędy i kolumny. Na ostatnim meczu w każdym rzędzie siedziało 11 kibiców gospodarzy, w każdej kolumnie siedziało 14 kibiców gości i dokładnie 17 miejsc na widowni pozostało wolnych. Co najmniej ile miejsc ma widownia?;A) 500;B) 660;C) 690;D) 840;E) 994;B;3
Ile spośród liczb trzycyfrowych utworzonych jedynie z cyfr 1, 3 i 5 (każdej cyfry można używać wielokrotnie) jest podzielnych przez 3?;A) 3;B) 6;C) 9;D) 18;E) 27;C;1
Na tablicy zapisano liczby 1, 2, 7, 9, 10, 15 i 19. Dwaj gracze usuwają na zmianę po jednej liczbie, aż na tablicy pozostanie tylko jedna liczba. Jaka liczba pozostanie na tablicy, jeśli suma liczb usuniętych przez jednego gracza będzie dwukrotnie większa od sumy liczb usuniętych przez drugiego gracza?;A) 7;B) 9;C) 10;D) 15;E) 19;B;2
Liczby całkowite od 1 do 1000 wypisujemy w pewnej kolejności w rzędzie jedna za drugą i obliczamy wszystkie sumy trzech kolejnych z tych liczb. Co najwyżej ile spośród wszystkich tych sum jest liczbami nieparzystymi?;A) 997;B) 996;C) 995;D) 994;E) 993;A;3
Które z poniższych wyrażeń przy żadnym całkowitym n nie daje liczby podzielnej przez 3?;A) 5n+1;B) n²;C) n(n+1);D) 6n-1;E) n³-2;D;1
Góra lodowa ma kształt sześcianu. Pod wodą znajduje się 90% objętości góry. Nad powierzchnię wody wystaje tylko jeden wierzchołek sześcianu i fragmenty trzech sąsiednich krawędzi długości odpowiednio 24m, 25m i 27m. Jaka jest długość krawędzi tego sześcianu?;A) 30m;B) 33m;C) 34m;D) 35m;E) 39m;A;2
Tomek ma w pudełku 71 kulek. W jednym ruchu wolno mu wyjąć z pudełka dokładnie 30 kulek lub dołożyć do pudełka 18 kulek spośród wcześniej wyjętych. Tomek może powtarzać powyższe operacje tyle razy, ile chce. Jaka jest najmniejsza możliwa liczba kulek w pudełku?;A) 1;B) 3;C) 5;D) 7;E) 11;C;3
Niech N będzie najmniejszą liczbą naturalną o sumie cyfr równej 2019. Jaka jest pierwsza od lewej cyfra liczby N?;A) 2;B) 3;C) 4;D) 5;E) 6;B;1
Ze zbioru wierzchołków pewnego wielokąta wypukłego wybieramy losowo dwa punkty. Prawdopodobieństwo, że wybrane punkty są końcami pewnej przekątnej tego wielokąta, wynosi 0,8. Ile boków ma wielokąt?;A) 8;B) 9;C) 10;D) 11;E) 2019;D;2
Cztery różne proste przechodzące przez początek układu współrzędnych przecinają parabolę y = x² − 2 w ośmiu punktach. Czemu może być równy iloczyn odciętych (tj. współrzędnych „iksowych”) tych ośmiu punktów?;A) Tylko 16;B) Tylko -16.;C) Tylko 8;D) Tylko -8.;E) Iloczyn może przyjmować różne wartości.;A;3
W pudełku jest 65 kul, przy czym 8 z nich jest białych, a pozostałe są czarne. W jednym ruchu możemy wyjąć z pudełka nie więcej niż 5 kul. Kule raz wyjęte z pudełka już do niego nie wracają. Jaką najmniejszą liczbę ruchów trzeba wykonać, aby mieć pewność, że została wyjęta przynajmniej jedna biała kula?;A) 11;B) 12;C) 13;D) 14;E) 15;B;1
Spośród pięciu kart oznaczonych liczbami 3, 4, 5, 6 i 7 Anna wybrała trzy, a Beata dostała pozostałe dwie. Każda z nich obliczyła iloczyn liczb na swoich kartach i okazało się, że suma tych iloczynów jest liczbą pierwszą. Ile wynosi suma liczb na kartach Anny?;A) 12;B) 13;C) 15;D) 17;E) 18;B;2
Czterej bracia A, B, C i D są różnego wzrostu. Oświadczyli oni, co następuje. A powiedział: ,,Nie jestem ani najniższy, ani najwyższy'', B: ,,Nie jestem najniższy'', C: ,,Jestem najwyższy'', a D powiedział: ,,Jestem najniższy''. Który z nich jest najwyższy, jeśli dokładnie jeden z nich skłamał?;A) A;B) B;C) C;D) D;E) Za mało informacji, by to stwierdzić;B;3
Bartek jest zapalonym modelarzem. Jego ulubionym modelem jest model kolejki elektrycznej w skali 1 : 87 zwany przez modelarzy H0. Wykonał do niego wiele dodatkowych figurek, w tym dwucentymetrową figurkę swojego brata, oczywiście wszystkie w skali modelu. Jaki jest rzeczywisty wzrost jego brata?;A) 1,74 m;B) 1,62 m;C) 1,86 m;D) 1,94 m;E) 1,70 m;A;1
Wynalazca Klapaucjusz skonstruował robota obdarzonego sztuczną inteligencją. Niestety w wyniku błędu w programie w każdych trzech kolejnych wypowiadanych przez niego zdaniach jest dokładnie jedno fałszywe. Robot poproszony o podanie własności pewnej liczby dwucyfrowej powiedział w kolejności: „Jedną z jej cyfr jest 2”, „Jest większa niż 50”, „Jest parzysta”, „Jest mniejsza niż 30”, „Jest podzielna przez 3”, „Jedną z jej cyfr jest 7”. Ile jest równa suma cyfr tej liczby?;A) 9;B) 12;C) 13;D) 15;E) 17;D;2
Długości wszystkich boków trójkąta prostokątnego są liczbami naturalnymi. Jaki jest obwód tego trójkąta, jeśli jedna z przyprostokątnych ma długość 29?;A) 290;B) 291;C) 869;D) 870;E) Nie można tego określić;D;3
Kacper i Melchior mają razem 35 lat, Melchior i Baltazar mają razem 36 lat, a Baltazar i Kacper mają razem 37 lat. Ile lat ma najstarszy z nich?;A) 16;B) 17;C) 18;D) 19;E) 20;D;1
Wyspę Laputa zamieszkują wyłącznie Matematycy -- którzy zawsze mówią prawdę, i Krętacze -- którzy zawsze kłamią. W czasie swoich podróży dr Guliwer spotkał 7 mieszkańców tej wyspy siedzących wokół okrągłego stołu. Każdy z nich powiedział: Siedzę pomiędzy dwoma Krętaczami. Ilu Krętaczy siedziało przy tym stole?;A) 3;B) 4;C) 5;D) 5;E) Brak wystarczającej ilości informacji.;B;2
Liczba pierwsza p dzieli sumę wszystkich liczb naturalnych od 1 do n, ale nie dzieli żadnego ze składników tej sumy. Która z następujących liczb może być równa sumie n+p?;A) 217;B) 221;C) 229;D) 245;E) 269;A;3
Piotr dodał do siebie 31 kolejnych liczb naturalnych od 2001 do 2031, a następnie otrzymaną sumę podzielił przez 31. Jaki wynik otrzymał?;A) 2012;B) 2013;C) 2015;D) 2016;E) 2496;D;1
Sprzedawca samochodów nabył dwa samochody, a następnie odsprzedał je swoim klientom. Pierwszy samochód sprzedał za cenę o 40% wyższą od ceny zakupu, a drugi samochód sprzedał za cenę o 60% wyższą od ceny jego zakupu. W sumie za oba samochody zainkasował o 54% więcej, niż wydał na ich zakup. Jaki jest stosunek ceny, za jaką sprzedawca nabył pierwszy samochód, do ceny, za jaką nabył drugi samochód?;A) 10 : 13;B) 20 : 27;C) 3 : 7;D) 7 : 12;E) 2 : 3;C;2
Protazy i Gerwazy – każdy na swój sposób – zamienili litery słowa KANGAROO cyframi, otrzymując ośmiocyfrowe liczby podzielne przez 11. Każdy z nich zastąpił różne litery różnymi cyframi, a takie same litery – równymi cyframi. Gerwazy otrzymał największą możliwą liczbę, a Protazy – najmniejszą. Okazało się, że obaj zastąpili pewną literę tą samą cyfrą. Jaka to cyfra?;A) 0;B) 3;C) 4;D) 5;E) 6;D;3
Kacper, Melchior i Baltazar obchodzą dziś urodziny. Kacper dodał lata, które każdy z nich ukończył i otrzymał liczbę 44. Po pewnym czasie suma ich lat będzie znowu liczbą dwucyfrową o równych cyfrach. Jaka to liczba?;A) 55;B) 66;C) 77;D) 88;E) 99;C;1
Dla jakiego n sześć tygodni to dokładnie 1·2·3·4·…·n sekund?;A) 6;B) 7;C) 8;D) 10;E) 12;D;2
W lasach jednej z wysp Archipelagu Bergamutów żyją trzy rodzaje zwierząt: sarny, wilki i lwy. Wilki zjadają sarny, lwy zjadają zarówno sarny jak i wilki. Gdy wilk zje sarnę, zmienia się w lwa. Gdy lew zje sarnę, zmienia się w wilka, a gdy zje wilka, zmienia się w sarnę. Początkowo na wyspie było 17 saren, 55 wilków i 6 lwów. Jaka jest największa możliwa liczba zwierząt, które mogą pozostać na tej wyspie w sytuacji, gdy żadne zwierzę nie może zjeść innego?;A) 1;B) 6;C) 17;D) 23;E) 35;D;3
Sześciu herosów pojmało 20 łotrów. Pierwszy heros pojmał jednego łotra, drugi dwóch, a trzeci trzech. Czwarty heros pojmał więcej łotrów niż którykolwiek z pozostałych pięciu. Najmniejsza możliwa liczba łotrów pojmanych przez czwartego herosa jest równa;A) 7;B) 6;C) 5;D) 4;E) 3;B;1
Rozważmy prostokąty, których jeden z boków ma długość 5 i które mają tę własność, że można je podzielić na prostokąt i kwadrat, przy czym któraś z tych figur ma pole równe 4. Ile nieprzystających prostokątów ma tę własność?;A) 1;B) 2;C) 3;D) 4;E) 5;D;2
Na wyspach Bergamutach żyją dwa typy mieszkańców: prawdomówni - którzy zawsze mówią prawdę, i kłamcy - którzy zawsze kłamią. Po przybyciu na te wyspy spotkałem dwóch Bergamutan: wysokiego i niskiego. Zapytałem wysokiego, czy obaj są prawdomówni, ale z odpowiedzi nie mogłem wywnioskować, kim oni byli. Wówczas zapytałem niskiego, czy wysoki jest prawdomównym, a gdy odpowiedział, wiedziałem już, do jakiego typu należał każdy z nich. Kim byli napotkani Bergamutanie?;A) Obaj byli prawdomówni.;B) Obaj byli kłamcami.;C) Wysoki był prawdomówny, niski kłamcą.;D) Wysoki był kłamcą, niski prawdomównym.;E) Nie można tego rozstrzygnąć.;D;3
Mój wiek wyraża się liczbą dwucyfrową, która jest potęgą o wykładniku naturalnym liczby 5. Wiek mojego kuzyna wyraża się liczbą dwucyfrową, która jest potęgą o wykładniku naturalnym liczby 2. Łączna suma cyfr dwóch liczb wyrażających mój wiek i wiek mojego kuzyna jest nieparzysta. Ile jest równy iloczyn wszystkich cyfr obu tych liczb?;A) 240;B) 2010;C) 60;D) 50;E) 300;A;1
Biuro podróży zaproponowało grupie turystów zwiedzających Warmię i Mazury cztery opcjonalne oferty dodatkowych atrakcji. Z każdej z tych ofert skorzystało 80% członków grupy. Z wszystkich czterech ofert skorzystało p procent członków grupy. Najmniejszą wartością p, przy której jest to możliwe, jest;A) 80;B) 60;C) 40;D) 20;E) 16;D;2
"Każda z pięciu lamp układu jest w jednym z dwóch stanów: albo ""świeci"", albo ""nie świeci"". Każdorazowe naciśnięcie włącznika dowolnej lampy zmienia stan tej lampy i jeszcze jednej losowo wybranej lampy spośród pozostałych (nie musi to być za każdym razem ta sama lampa). Na początku wszystkie lampy były w stanie ""nie świeci"". Włączniki tego układu lamp naciśnięto dokładnie 10 razy. Wówczas na pewno:";A) Co najmniej jedna lampa świeci;B) Wszystkie lampy świecą.;C) Co najmniej jedna lampa nie świeci.;D) Żadna lampa nie świeci.;E) 3 lampy świecą, a 2 nie świecą.;C;3
Dwaj bracia, Gerwazy i Protazy, udzielili prawdziwych odpowiedzi na pytanie o liczbę członków klubu dyskusyjnego, do którego należą. Gerwazy powiedział: Wszyscy członkowie naszego klubu, oprócz pięciu, są płci męskiej. Protazy powiedział: Wśród dowolnie wybranych sześciu członków naszego klubu są zawsze co najmniej cztery panie. Ilu członków liczy ten klub dyskusyjny?;A) 6;B) 7;C)8;D) 12;E) 18;B;1
48 chłopców wybrało się na wspólną wyprawę narciarską. Sześciu z nich przybyło z dokładnie jednym bratem, dziewięciu z dokładnie dwoma braćmi i czterech z dokładnie trzema braćmi. Pozostali chłopcy przybyli bez rodzeństwa. Z ilu rodzin było tych 48 chłopców?;A) 19;B) 25;C) 31;D) 36;E) 48;D;2
Sześcian o wymiarach 3×3×3 jest zbudowany z 27 identycznych sześcianików o wymiarach 1×1×1. Ile takich sześcianików przecina płaszczyzna prostopadła do przekątnej sześcianu i przechodząca przez jego środek?;A) 15;B) 17;C) 19;D) 21;E) 23;C;3
Mam dwa naczynia w kształcie sześcianu: jedno o polu podstawy 4 dm², drugie o polu podstawy 1 dm². Zamierzam napełnić duże naczynie wodą ze strumienia, używając do tego mniejszego naczynia. Ile co najmniej razy muszę pójść do strumienia, aby napełnić większe naczynie?;A) 2;B) 4;C) 6;D) 8;E) 16;D;1
W torbie są kule: niebieskie, zielone i czerwone. Wiadomo, że jeżeli losowo wyjmiemy z tej torby pięć kul, to na pewno wśród nich będą co najmniej dwie czerwone i co najmniej trzy będą w tym samym kolorze. Ile kul w tej torbie jest koloru niebieskiego?;A) 1;B) 2;C) 3;D) 4;E) Nie można tego stwierdzić bez dodatkowych informacji.;A;2
Do tablicy, na której wypisano liczby od 1 do 10, podchodzili kolejno uczniowie i każdy z nich zmazywał dwie dowolnie wybrane liczby, a na tablicy zapisywał ich sumę pomniejszoną o 1. W pewnym momencie na tablicy pozostała tylko jedna liczba. Liczba ta;A) jest mniejsza niż 11.;B) jest równa 11;C) jest równa 46;D) jest większa niż 46;E) jest równa 45.;C;3
Dany jest wielokąt foremny o 41 kątach. Na ile sposobów można wybrać trzy wierzchołki tego wielokąta, aby utworzyły one trójkąt prostokątny?;A) 41;B) 40·41;C) 2·41;D) 20·41;E) Inna odpowiedź.;E;1
Ambroży i Bonifacy biegają wokół stadionu, każdy ze stałą prędkością. Ambroży, który biegnie szybciej niż Bonifacy, okrąża stadion w czasie 3 minut. Obaj wystartowali jednocześnie, z tego samego punktu i w tym samym kierunku. Po upływie 8 minut Ambroży po raz pierwszy zdublował Bonifacego. W jakim czasie Bonifacy pokonuje jedno okrążenie?;A) 6 min;B) 8 min;C) 4 min 30 s;D) 4 min 48 s;E) 4 min 20 s;D;2
"W konkursie matematycznym uczestniczyło 55 uczniów. Jurorzy sprawdzający zadania stawiali przy każdym poprawnie rozwiązanym zadaniu znak "+", przy każdym niepoprawnie rozwiązanym zadaniu znak "-", a znak "0", gdy uczestnik zadanie pominął. Po zakończeniu konkursu okazało się, że każde dwie prace różnią się liczbą znaków "+" lub liczbą znaków "-". Jaka jest najmniejsza liczba zadań, przy której jest to możliwe?";A) 6;B) 9;C) 10;D) 11;E) 12;B;3
Ile liczb pierwszych p ma tę własność, że p⁴+1 też jest liczbą pierwszą?;A) Żadna.;B) 1;C) 2;D) 3;E) Nieskończenie wiele.;B;1
Dwa okręgi o promieniach 13 i 15 przecinają się w dwóch punktach. Cięciwa łącząca te punkty ma długość 24. Która z poniższych liczb może wyrażać odległość środków tych okręgów przy pewnym ich położeniu?;A) 13;B) 14;C) 15;D) 18;E) 24;B;2
Kasia dostała w prezencie 36 drewnianych kangurków i pomalowała je, używając trzech kolorów: białego, brązowego i czarnego. Niektóre kangurki pomalowała tylko jednym kolorem, inne dwoma, a pozostałe 5 kangurków wszystkimi trzema kolorami. Białej farby użyła do pomalowania 25 kangurków, brązowej do pomalowania 28 kangurków, a czarnej do pomalowania 20 kangurków. Ile kangurków pomalowała tylko jednym kolorem?;A) Żadnego;B) 4;C) 12;D) 31;E) Nie można tego jednoznacznie ustalić.;B;3
Michał na egzaminie testowym odpowiedział poprawnie na 80% pytań, a na pozostałe 5 pytań nie udzielił odpowiedzi. Ile było pytań w teście?;A) 20;B) 25;C) 30;D) 35;E) 40;B;1
Pewna wyspa zamieszkana jest wyłącznie przez kłamców i przez rycerzy. Każdy kłamca zawsze kłamie, każdy rycerz zawsze mówi prawdę. Wyspiarz Abacki, zapytany, kim jest on i kim jest jego sąsiad Babacki, odpowiedział: Przynajmniej jeden z nas jest kłamcą. Które z poniższych zdań jest prawdziwe?;A) Żaden mieszkaniec wyspy nie mógł wypowiedzieć takiego zdania.;B) Obaj sa kłamcami;C) Abacki jest kłamcą, a Babacki jest rycerzem.;D) Obaj sa rycerzami.;E) Abacki jest rycerzem, a Babacki jest kłamcą.;E;2
Andrzej, Mietek i Zbyszek rzucają kolejno kostką do gry. Andrzej wygrywa, jeżeli wyrzuci 1, 2 lub 3. Mietek wygrywa, jeżeli wyrzuci 4 lub 5. Zbyszek wygrywa, jeżeli wyrzuci 6. Najpierw kostką rzuca Andrzej, potem Mietek, potem Zbyszek, potem znowu Andrzej, znowu Mietek, itd. Gra się kończy, gdy któryś z nich wygra. Jakie jest prawdopodobieństwo, że wygra Zbyszek?;A) 1/6;B) 1/8;C) 1/11;D) 1/13;E) 0;D;3
Dwa pociągi równej długości przejeżdżają obok siebie w przeciwnych kierunkach. Pierwszy z nich jedzie z prędkością 100 km/h, drugi z prędkością 120 km/h. Pasażer drugiego pociągu stwierdził, że pierwszy pociąg mijał go przez 6 sekund. Ile sekund mijał drugi pociąg stojącego przy oknie pasażera pierwszego pociągu?;A) 5.;B) 6.;C) 7.;D) 7,2.;E) Nie można tego ustalić;B;1
Reszta z dzielenia liczby 1001 przez pewną liczbę jednocyfrową jest równa 5. Ile wynosi reszta z dzielenia 2006 przez tę samą liczbę jednocyfrową?;A) 2.;B) 3.;C) 4.;D) 5.;E) 6.;A;2
Paweł wybrał jedną liczbę z pewnego ciągu dziesięciu kolejnych liczb naturalnych. Suma pozostałych dziewięciu liczb tego ciągu jest równa 2006. Jaką liczbę wybrał Paweł?;A) 218.;B) 219.;C) 220.;D) 225.;E) 227.;B;3
Na płaszczyźnie dane są punkty P i Q, przy czym |PQ|=5. Ile istnieje na tej płaszczyźnie trójkątów, których jednym z boków jest odcinek PQ i których boki mają długości: 3, 4 i 5?;A) 4;B) 3;C) 2;D) 1;E) nieskończenie wiele;A;1
W trzech pudełkach jest razem 60 kart. Gdyby wszystkie karty z pierwszego pudełka przełożyć do drugiego pudełka, w pudełku tym byłoby dwa razy więcej kart niż w trzecim pudełku. Gdyby zaś wszystkie karty z trzeciego pudełka przełożyć do drugiego pudełka, w pudełku tym byłoby trzy razy więcej kart niż w pierwszym pudełku. Ile kart było w drugim pudełku?;A) 10;B) 15;C) 20;D) 25;E) 30;D;2
Ada co drugi dzień mówi wyłącznie prawdę, w pozostałe dni wyłącznie kłamie. Dziś wypowiedziała dokładnie cztery z pięciu poniższych zdań. Którego z nich nie wypowiedziała?; A)  Liczba moich przyjaciół jest liczbą pierwszą.;B)  Połowa z moich przyjaciół jest płci męskiej.;C)  288 jest podzielne przez 12.;  D)  Zawsze mówię prawdę;E)  Troje z moich przyjaciół jest starszych ode mnie.;C;3
Ile wierzchołków ma wielokąt foremny, w którym suma kątów wewnętrznych jest siedem razy mniejsza niż suma kątów 16-kąta foremnego?;A) 3;B) 4;C) 6;D) 7;E) 10;B;1
Ile istnieje kwadratów na płaszczyźnie Oxy, których jednym z wierzchołków jest punkt A(-1,-1) i których osią symetrii jest przynajmniej jedna z osi układu współrzędnych?;A) 2;B) 3;C) 4;D) 5;E) 6;D;2
Dany jest ciąg liczbowy składający się z dwustu zer. Przekształcamy ten ciąg w inny ciąg dwustuelementowy w następujący sposób: W pierwszym etapie dodajemy do każdego wyrazu ciągu liczbę 1. W drugim etapie dodajemy do każdego wyrazu o numerze parzystym otrzymanego w pierwszym etapie ciągu liczbę 1. W trzecim etapie dodajemy do każdego wyrazu o numerze podzielnym przez trzy otrzymanego w drugim etapie ciągu liczbę 1, itd. Po 200 etapach otrzymamy ciąg, którego 120. wyraz będzie równy:;A) 16;B) 12;C) 20;D) 24;E) 32;A;3
Ile wyrazów ciągu, którego wyrazami są siódme potegi kolejnych liczb naturalnych, znajduje się między liczbami 5²¹+1 i 2⁴⁹-1?;A) 6;B) 5;C) 4;D) 3;E) 2;E;2
W kole o promieniu 15 obrano punkt P odległy od środks koła o 9. Ile istnieje różnych cięciw przechodzących przez punkt P, których długości wyrażają się liczbami całkowitymi?;A) 1;B) 2;C) 7;D) 12;E) 24;D;3
W pewnym hotelu w ciągu trzech letnich miesięcy zajętych jest średnio 88% pokoi, w pozostałych dziewięciu miesiącach roku zajętych jest średnio 64% pokoi. Ile średnio pokoi jest zajętych w ciągu całego roku?;A) 108%;B) 54%;C) 70%;D) 64%;E) 88%;C;1
Na płaszczyźnie dany jest zbiór A składający się z dziesięciu punktów. Dokładnie pięć z nich leży na pewnej prostej i żadna inna prosta nie zawiera więcej niż dwa spośród tych dziesięciu punktów. Ile można utworzyć trójkątów o wierzchołkach należących do zbioru A?;A) 20;B) 50;C) 70;D) 100;E) 110;E;2
Ile istnieje nieprzystających trójkątów utworzonych przez wierzchołki ośmiokąta foremnego?;A) 2;B) 5;C) 6;D) 8;E) 10;D;3
W turnieju piłki nożnej wzięły udział drużyny A, B, C i D. W każdym meczu drużyna zwycięska otrzymuje 3 punkty, przegrana 0 punktów, za remis obie drużyny otrzymują po jednym punkcie. Każda drużyna rozegrała z każdą inną dokładnie jeden mecz. Wyniki końcowe były następujące: drużyna A zdobyła 7 punktów, B - 4 punkty, C - 3 punkty, D - 3 punkty. Jak zakończył się mecz pomiędzy drużynami A i D?;A) Drużyna A wygrała;B) Remisem;C) Drużyna D wygrała;D) To zależy od wyniku meczu A przeciw B;E) To zależy od wyniku meczu A przeciw C;A;2
Wujek Antoni złowił pewną liczbę ryb. Trzy największe spośród nich dał cioci Halinie, w wyniku czego waga złowionych ryb zmalała o 35%. Następnie trzy najmniejsze ryby dał sąsiadowi, zmniejszając wagę pozostałych ryb o 5/13. Ile ryb złowił wujek Antoni?;A) 8;B) 9;C) 10;D) 11;E) 12;C;3
Statek kosmiczny leci z Ziemi do odległej o 2²⁰ km planety X. Gdy statek przebył 1/4 drogi, utracił kontakt radiowy z Ziemią. Kontakt ten odzyskał w odległości 2¹⁹ km od Ziemi. Ile kilometrów leciał bez kontaktu radiowego?;A) 2⁸;B) 2⁹;C) 2¹⁰;D) 2¹⁸;E) 2¹⁹;D;1
Bartosz powinien pomnożyć dwie dwucyfrowe liczby naturalne. Niestety, pomylił się i przemnożył pierwszą z nich przez liczbę powstałą przez zamianę kolejności cyfr liczby drugiej. Otrzymany wynik był o 3816 większy od właściwego. Jaki powinien być właściwy wynik?;A) 7632;B) 5724;C) 4823;D) 1908;E) 1007;E;2
Jeżeli p(n) oznacza iloczyn cyfr liczby naturalnej n, to p(1)+p(2)+p(3)+...+p(100) jest równe;A) 1560;B) 1700;C) 2050;D) 2070;E) 5050;D;3
